Month_Name_Full,Additions - Public,Additions - Private,% age Growth - Public,% age Growth - Private
April,-549616.1666666666,8392762.833166666,-0.35666666666666663,1.57
August,414690.1666666667,6609654.666666667,0.4166666666666667,1.2633333333333334
December,207850.83333333334,5817334.333333333,0.22999999999999995,1.0933333333333335
February,93026.0,10488734.0,0.055000000000000014,1.5966666666666667
January,257926.0,9882616.5,0.24666666666666667,1.5583333333333333
July,290861.1666666667,3309550.3333333335,0.2966666666666667,0.8783333333333333
June,-25590.666666666668,8909512.333333334,0.0050000000000000044,1.5733333333333333
March,921829.8,10124275.0,0.8240000000000001,1.6
May,-328426.6666666667,9337129.8335,-0.24166666666666667,1.6416666666666666
November,311274.3333333333,5823527.666666667,0.2833333333333334,1.135
October,202900.33333333334,8135694.0,0.18666666666666662,1.4383333333333335
September,312853.0,5836503.166666667,0.3316666666666667,1.115
