theme_word,similar_word,similarity
nation,blood,0.9997327923774719
nation,great,0.9997159838676453
nation,day,0.9997156858444214
nation,make,0.9996839165687561
nation,strength,0.9996756911277771
freedom,let,0.9993172883987427
freedom,free,0.9992634654045105
freedom,always,0.999219536781311
freedom,brother,0.9990155696868896
freedom,shall,0.9989662170410156
land,native,0.9996082782745361
land,glory,0.9995384812355042
land,rise,0.9995065927505493
land,give,0.999504029750824
land,mother,0.9994944930076599
people,shall,0.9997720122337341
people,love,0.9996850490570068
people,one,0.999667763710022
people,happiness,0.999665379524231
people,spirit,0.9996351599693298
country,beloved,0.9996562004089355
country,flag,0.9996024966239929
country,god,0.9993853569030762
country,salute,0.9992812871932983
country,dear,0.9991808533668518
love,heart,0.999748945236206
love,unity,0.9996850490570068
love,people,0.9996849298477173
love,happiness,0.9996570348739624
love,shall,0.9996321797370911
glory,land,0.9995384216308594
glory,protect,0.9995086789131165
glory,world,0.9994927644729614
glory,mother,0.9994539022445679
glory,heart,0.9994264245033264
