,temp,temp,temp,temp,humidity,humidity,humidity,wind_speed,wind_speed,pressure,weather_main
,mean,min,max,std,mean,min,max,mean,max,mean,mode
city,,,,,,,,,,,
Ahmedabad,29.39,29.39,29.39,,19.0,19,19,3.02,3.02,1008.0,Clear
Bangalore,24.45,24.45,24.45,,22.0,22,22,3.83,3.83,1011.0,Clear
Bhopal,24.19,24.19,24.19,,19.0,19,19,3.27,3.27,1011.0,Clear
Chennai,26.7,26.7,26.7,,65.0,65,65,5.0,5.0,1010.0,Clear
Delhi,24.31,24.31,24.31,,17.0,17,17,2.33,2.33,1010.0,Clear
Guwahati,19.65,19.65,19.65,,31.0,31,31,1.32,1.32,1012.0,Clear
Hyderabad,27.13,27.13,27.13,,15.0,15,15,1.82,1.82,1010.0,Clear
Indore,24.15,24.15,24.15,,22.0,22,22,1.6,1.6,1011.0,Clear
Jaipur,20.59,20.59,20.59,,23.0,23,23,1.32,1.32,1010.0,Clear
Kanpur,20.78,20.78,20.78,,17.0,17,17,1.18,1.18,1010.0,Clear
Kolkata,22.64,22.64,22.64,,76.0,76,76,2.91,2.91,1010.0,Clear
Lucknow,21.54,21.54,21.54,,17.0,17,17,1.09,1.09,1010.0,Clear
Mumbai,27.65,27.65,27.65,,57.0,57,57,3.03,3.03,1010.0,Clear
Nagpur,26.76,26.76,26.76,,16.0,16,16,2.72,2.72,1009.0,Clear
Patna,22.03,22.03,22.03,,21.0,21,21,2.62,2.62,1010.0,Clear
Pune,26.23,26.23,26.23,,21.0,21,21,2.34,2.34,1011.0,Clear
Surat,27.01,27.01,27.01,,50.0,50,50,4.12,4.12,1009.0,Clear
Thane,28.23,28.23,28.23,,35.0,35,35,1.53,1.53,1009.0,Clear
Vadodara,27.46,27.46,27.46,,30.0,30,30,4.37,4.37,1009.0,Clear
Visakhapatnam,25.62,25.62,25.62,,76.0,76,76,2.72,2.72,1011.0,Clear
