city,collection_time,timestamp,temp,temp_min,temp_max,feels_like,humidity,pressure,wind_speed,wind_direction,clouds,weather_main,weather_description,rain_1h,snow_1h
Mumbai,2025-03-08 22:41:11,1741453810,27.65,27.65,27.65,28.66,57,1010,3.03,321,0,Clear,clear sky,0,0
Delhi,2025-03-08 22:41:11,1741453612,24.31,24.31,24.31,23.24,17,1010,2.33,330,1,Clear,clear sky,0,0
Bangalore,2025-03-08 22:41:11,1741453670,24.45,24.45,24.45,23.53,22,1011,3.83,86,4,Clear,clear sky,0,0
Hyderabad,2025-03-08 22:41:11,1741453765,27.13,27.13,27.13,26.05,15,1010,1.82,93,0,Clear,clear sky,0,0
Chennai,2025-03-08 22:41:11,1741453860,26.7,26.7,26.7,28.03,65,1010,5.0,118,3,Clear,clear sky,0,0
Kolkata,2025-03-08 22:41:11,1741453361,22.64,22.64,22.64,22.94,76,1010,2.91,204,1,Clear,clear sky,0,0
Jaipur,2025-03-08 22:41:11,1741453612,20.59,20.59,20.59,19.31,23,1010,1.32,74,0,Clear,clear sky,0,0
Ahmedabad,2025-03-08 22:41:11,1741453881,29.39,29.39,29.39,27.73,19,1008,3.02,302,0,Clear,clear sky,0,0
Pune,2025-03-08 22:41:11,1741453883,26.23,26.23,26.23,26.23,21,1011,2.34,278,0,Clear,clear sky,0,0
Surat,2025-03-08 22:41:11,1741453884,27.01,27.01,27.01,27.43,50,1009,4.12,245,0,Clear,clear sky,0,0
Lucknow,2025-03-08 22:41:11,1741453885,21.54,21.54,21.54,20.19,17,1010,1.09,1,0,Clear,clear sky,0,0
Kanpur,2025-03-08 22:41:11,1741453886,20.78,20.78,20.78,19.36,17,1010,1.18,179,0,Clear,clear sky,0,0
Nagpur,2025-03-08 22:41:11,1741453859,26.76,26.76,26.76,25.83,16,1009,2.72,352,0,Clear,clear sky,0,0
Indore,2025-03-08 22:41:11,1741453687,24.15,24.15,24.15,23.2,22,1011,1.6,26,0,Clear,clear sky,0,0
Thane,2025-03-08 22:41:11,1741453840,28.23,28.23,28.23,27.54,35,1009,1.53,335,0,Clear,clear sky,0,0
Bhopal,2025-03-08 22:41:11,1741453207,24.19,24.19,24.19,23.16,19,1011,3.27,357,0,Clear,clear sky,0,0
Visakhapatnam,2025-03-08 22:41:11,1741453892,25.62,25.62,25.62,26.22,76,1011,2.72,212,0,Clear,clear sky,0,0
Patna,2025-03-08 22:41:11,1741453345,22.03,22.03,22.03,20.84,21,1010,2.62,80,0,Clear,clear sky,0,0
Vadodara,2025-03-08 22:41:11,1741453895,27.46,27.46,27.46,26.72,30,1009,4.37,238,0,Clear,clear sky,0,0
Guwahati,2025-03-08 22:41:11,1741453816,19.65,19.65,19.65,18.48,31,1012,1.32,154,0,Clear,clear sky,0,0
